Date,ordinal,DTN_road,DTN_road_SE,DTN_road_UCI,DTN_road_LCI,burn_stat,burn_stat_SE,burn_stat_UCI,burn_stat_LCI,ndvi,ndvi_SE,ndvi_UCI,ndvi_LCI,DTN_bf,DTN_bf_SE,DTN_bf_UCI,DTN_bf_LCI,,,
1/1/2022,1,-0.800832808,0.033291147,-0.73558216,-0.866083456,-0.292336087,0.043840871,-0.20640798,-0.378264194,0.533861978,0.030911765,0.594449038,0.473274918,-0.108805706,0.029277488,-0.05142183,-0.166189582,,,
1/2/2022,2,-0.852061639,0.035211293,-0.783047504,-0.921075774,-0.232190696,0.04540981,-0.14318747,-0.321193923,0.552857662,0.032247439,0.616062643,0.489652681,-0.13932786,0.030193041,-0.080149501,-0.19850622,,,
1/3/2022,3,-0.831596733,0.035020585,-0.762956387,-0.90023708,-0.246043102,0.046070183,-0.155745544,-0.33634066,0.516120503,0.032058326,0.578954821,0.453286185,-0.137842783,0.030626027,-0.07781577,-0.197869795,,,
1/4/2022,4,-0.809881961,0.033862416,-0.743511627,-0.876252296,-0.240667487,0.044749282,-0.152958895,-0.328376079,0.528313996,0.031158589,0.58938483,0.467243163,-0.118642057,0.029254094,-0.061304032,-0.175980082,,,
1/5/2022,5,-0.809069664,0.033591147,-0.743231015,-0.874908313,-0.226126881,0.044354512,-0.139192039,-0.313061724,0.535618399,0.030923038,0.596227553,0.475009244,-0.122497121,0.02913343,-0.065395599,-0.179598644,,,
1/6/2022,6,-0.809069664,0.033591147,-0.743231015,-0.874908313,-0.226126881,0.044354512,-0.139192039,-0.313061724,0.535618399,0.030923038,0.596227553,0.475009244,-0.122497121,0.02913343,-0.065395599,-0.179598644,,,
1/7/2022,7,-0.822610809,0.033281871,-0.757378342,-0.887843275,-0.240403005,0.04372797,-0.154696184,-0.326109825,0.540745521,0.030513795,0.600552558,0.480938484,-0.117718211,0.028561431,-0.061737806,-0.173698617,,,
1/8/2022,8,-0.83536949,0.032521359,-0.771627627,-0.899111354,-0.260136816,0.042660629,-0.176521983,-0.34375165,0.535606032,0.029648903,0.593717881,0.477494183,-0.124948764,0.028198498,-0.069679708,-0.18021782,,,
1/9/2022,9,-0.824220445,0.031636399,-0.762213102,-0.886227787,-0.2441602,0.041613357,-0.16259802,-0.325722381,0.535870874,0.028986809,0.592685019,0.479056728,-0.109874356,0.027076395,-0.056804621,-0.16294409,,,
1/10/2022,10,-0.812436197,0.030784597,-0.752098386,-0.872774008,-0.250578148,0.040767224,-0.170674389,-0.330481908,0.53545567,0.028200319,0.590728295,0.480183045,-0.108850289,0.026551452,-0.056809443,-0.160891135,,,
1/11/2022,11,-0.802525258,0.030298192,-0.743140802,-0.861909715,-0.228663053,0.040278957,-0.149716297,-0.307609809,0.523150709,0.027692176,0.577427374,0.468874043,-0.103524164,0.026230997,-0.05211141,-0.154936918,,,
1/12/2022,12,-0.807581182,0.030516108,-0.74776961,-0.867392755,-0.219865131,0.040459983,-0.140563565,-0.299166697,0.515843935,0.027808281,0.570348166,0.461339704,-0.10368006,0.026245135,-0.052239595,-0.155120524,,,
1/13/2022,13,-0.81482195,0.03147183,-0.753137163,-0.876506738,-0.196843039,0.041575415,-0.115355225,-0.278330853,0.506170144,0.028440299,0.561913129,0.450427159,-0.091409261,0.027197817,-0.038101539,-0.144716983,,,
1/14/2022,14,-0.793959437,0.030648302,-0.733888766,-0.854030109,-0.191651231,0.040863674,-0.11155843,-0.271744032,0.499882395,0.027843128,0.554454925,0.445309864,-0.089849878,0.026837922,-0.037247552,-0.142452205,,,
