Capture Date,Course ID,Trap,Band ID,Recapture,Sex,Age,Immature,Weight,Condition,Leg Band,Wing Band,Tag Status at Capture,Manufacturer_at_Capture,SerialNum_at_Capture,Frequency_at_Capture,Tag Status at Release,Manufacturer_at_Release,SerialNum_at_Release,Frequency_at_Release,BirdID,Comments,ObjectId,WingChord,Tarsus,RadioSize
3/21/2022,AC,15,220341,No,Male,Juvenile,,182,Good,Right,None,None,,,,VHFNAPendant,AWE,OA2168,162.986,162.986_220341,,1,,,
3/20/2022,AC,16,220322,No,Male,Adult,,162,Good,Right,None,None,,,,VHFNAPendant,AWE,Oa2150,162.716,162.716_220322,,2,,,
3/23/2022,AC,16,220363,No,Female,Juvenile,,168,Good,Right,None,None,,,,VHFNAPendant,AWE,OA21143,163.896,163.896_220363,,3,,,
3/14/2022,FC,42,194698,Yes,Male,Adult,,196,Good,Left,None,VHFNAPendant,AWE,TT821475,149.406,None,,,,_194698,,4,,,
3/14/2022,FC,42,220002,No,Male,Juvenile,,178,Good,Right,None,None,,,,None,,,,_220002,,5,,,
3/23/2022,AC,16,220364,No,Female,Juvenile,,180,Good,Right,None,None,,,,VHFNAPendant,AWE,OA21158,164.079,164.079_220364,,6,,,
3/11/2022,FC,42,220004,No,Male,Juvenile,,173,Good,Right,None,None,,,,None,,,,_220004,,7,,,
3/11/2022,FC,42,220005,No,Female,Juvenile,,166,Good,Left,None,None,,,,None,,,,_220005,,8,,,
3/11/2022,FC,42,220006,No,Male,Juvenile,,184,Good,Left,None,None,,,,None,,,,_220006,,9,,,
3/11/2022,FC,38,220007,No,Female,Juvenile,,170,Good,Right,None,None,,,,None,,,,_220007,,10,,,
3/23/2022,AC,16,220371,No,Female,Juvenile,,168,Good,Right,none,none,,,,VHFNAPendant,AWE,oa21172,164.228,164.228_220371,,11,,,
3/23/2022,AC,16,220372,No,Female,Juvenile,,162,Good,Right,none,none,,,,VHFNAPendant,AWE,oa21193,163.3,163.300_220372,,12,,,
3/19/2022,AC,16,220316,No,Male,Juvenile,,165,Good,Right,None,None,,,,VHFNAPendant,AWE,OA21148,163.947,163.947_220316,,13,,,
3/20/2022,AC,17,220325,No,Male,Juvenile,,174,Moderate NA Feathers Missing from Scalp,None,None,None,,,,VHFNAPendant,AWE,OA21104,163.427,163.427_220325,,14,,,
3/11/2022,FC,38,220012,No,Male,Juvenile,,190,Good,Left,None,None,,,,None,,,,_220012,,15,,,
3/11/2022,FC,38,220013,No,Male,Juvenile,,158,Good,Left,None,None,,,,None,,,,_220013,,16,,,
3/11/2022,FC,38,220014,No,Female,Juvenile,,156,Good,Left,None,None,,,,None,,,,_220014,,17,,,
3/31/2022,FC,38,220014,No,Female,Juvenile,,156,Good,Left,None,None,,,,None,AWE,0A21NA85,163.175,163.175_220014,,18,,,
3/11/2022,FC,38,220015,No,Female,Adult,,212,Good,Left,None,None,,,,None,,,,_220015,,19,,,
3/11/2022,FC,32,220016,No,Female,Adult,,184,Good,Left,None,None,,,,None,,,,_220016,,20,,,
3/20/2022,AC,17,220326,No,Female,Juvenile,,162,Good,Right,None,None,,,,VHFNAPendant,AWE,OA21155,164.043,164.043_220326,,21,,,
3/13/2022,AC,18,220209,No,Male,Juvenile,,167,Good,Right,None,None,,,,VHFNAPendant,AWE,TTA20274,163.156,163.156_220209,,22,,,
3/14/2022,AC,18,220093,No,Female,Juvenile,,166,Good,Right,None,None,,,,VHFNAPendant,AWE,OA21164,164.146,164.146_220093,,23,,,
3/14/2022,AC,19,204643,Yes,Male,Adult,,162,Good,Right,None,None,,,,VHFNAPendant,AWE,Tta20337,164.272,164.272_204643,,24,,,
3/14/2022,AC,19,220065,No,Female,Adult,,158,Good,Right,None,None,,,,VHFNAPendant,AWE,OA21134,163.795,163.795_220065,,25,,,
3/14/2022,AC,19,220066,No,Female,Juvenile,,148,Good,Right,None,None,,,,VHFNAPendant,AWE,OA21136,163.822,163.822_220066,,26,,,
3/21/2022,AC,19,220337,No,Female,Juvenile,,162,Good,Right,None,None,,,,VHFNAPendant,AWE,OA2170,163.013,163.013_220337,,27,,,
3/28/2022,AC,19,220348,No,Female,Adult,,168,Good,Right,None,None,,,,VHFNAPendant,AWE,Oa21142,163.886,163.886_220348,,28,,,
3/17/2022,AC,21,220099,No,Male,Juvenile,,172,Moderate NA Feathers Missing from Body,Right,Right,None,,,,VHFNAPendant,AWE,Oa21152,164.011,164.011_220099,,29,,,
3/12/2022,AC,27,220202,No,Female,Juvenile,,192,Good,Right,None,None,,,,VHFNAPendant,AWE,HSLNA241353,164.334,164.334_220202,,30,,,
3/11/2022,FC,102,220025,No,Male,Juvenile,,200,Good,Right,None,None,,,,None,,,,_220025,,31,,,
3/12/2022,AC,27,220203,No,Male,Juvenile,,168,Good,Right,None,None,,,,VHFNAPendant,AWE,OA2121,162.22,162.220_220203,,32,,,
3/12/2022,AC,27,220204,No,Female,Juvenile,,166,Good,Right,None,None,,,,VHFNAPendant,AWE,OA2187,163.193,163.193_220204,,33,,,
3/12/2022,AC,27,220205,No,Male,Juvenile,,182,Good,Right,None,None,,,,VHFNAPendant,AWE,TTA20NA295,163.363,163.363_220205,,34,,,
3/14/2022,AC,27,204659,Yes,Male,Adult,,186,Good,Right,None,None,,,,VHFNAPendant,AWE,Hsl241345,166.346,166.346_204659,,35,,,
3/14/2022,AC,27,220253,No,Female,Juvenile,,162,Good,Right,None,None,,,,VHFNAPendant,AWE,Oa2112,162.132,162.132_220253,,36,,,
3/12/2022,AC,42,194698,Yes,Male,Adult,,195,Good,Right,None,None,,,,None,,,,_194698,,37,,,
