day,month,day_month,ordinal,week,breedingseason,breedingseasonCov
1,1,1_1,1,1,0,0
2,1,2_1,2,1,0,0
3,1,3_1,3,1,0,0
4,1,4_1,4,1,0,0
5,1,5_1,5,1,0,0
6,1,6_1,6,1,0,0
7,1,7_1,7,1,0,0
8,1,8_1,8,2,0,0
9,1,9_1,9,2,0,0
10,1,10_1,10,2,0,0
11,1,11_1,11,2,0,0
12,1,12_1,12,2,0,0
13,1,13_1,13,2,0,0
14,1,14_1,14,2,0,0
15,1,15_1,15,3,0,0
16,1,16_1,16,3,0,0
17,1,17_1,17,3,0,0
18,1,18_1,18,3,0,0
19,1,19_1,19,3,0,0
20,1,20_1,20,3,0,0
21,1,21_1,21,3,0,0
22,1,22_1,22,4,0,0
23,1,23_1,23,4,0,0
24,1,24_1,24,4,0,0
25,1,25_1,25,4,0,0
26,1,26_1,26,4,0,0
27,1,27_1,27,4,0,0
28,1,28_1,28,4,0,0
29,1,29_1,29,5,0,0
30,1,30_1,30,5,0,0
31,1,31_1,31,5,0,0
1,2,1_2,32,5,0,0
2,2,2_2,33,5,0,0
3,2,3_2,34,5,0,0
4,2,4_2,35,5,0,0
5,2,5_2,36,6,0,0
6,2,6_2,37,6,0,0
7,2,7_2,38,6,0,0
8,2,8_2,39,6,0,0
9,2,9_2,40,6,0,0
10,2,10_2,41,6,0,0
11,2,11_2,42,6,0,0
12,2,12_2,43,7,0,0
13,2,13_2,44,7,0,0
14,2,14_2,45,7,0,0
15,2,15_2,46,7,0,0
16,2,16_2,47,7,0,0
17,2,17_2,48,7,0,0
18,2,18_2,49,7,0,0
19,2,19_2,50,8,0,0
20,2,20_2,51,8,0,0
21,2,21_2,52,8,0,0
22,2,22_2,53,8,0,0
23,2,23_2,54,8,0,0
24,2,24_2,55,8,0,0
25,2,25_2,56,8,0,0
26,2,26_2,57,9,0,0
27,2,27_2,58,9,0,0
28,2,28_2,59,9,0,0
1,3,1_3,60,9,0,0
2,3,2_3,61,9,0,0
3,3,3_3,62,9,0,0
4,3,4_3,63,9,0,0
5,3,5_3,64,10,0,0
6,3,6_3,65,10,0,0
7,3,7_3,66,10,0,0
8,3,8_3,67,10,0,0
9,3,9_3,68,10,0,0
10,3,10_3,69,10,0,0
11,3,11_3,70,10,0,0
12,3,12_3,71,11,0,0
13,3,13_3,72,11,0,0
14,3,14_3,73,11,0,0
15,3,15_3,74,11,0,0
16,3,16_3,75,11,0,0
17,3,17_3,76,11,0,0
18,3,18_3,77,11,0,0
19,3,19_3,78,12,0,0
20,3,20_3,79,12,0,0
21,3,21_3,80,12,0,0
22,3,22_3,81,12,0,0
23,3,23_3,82,12,0,0
24,3,24_3,83,12,0,0
25,3,25_3,84,12,0,0
26,3,26_3,85,13,0,1
27,3,27_3,86,13,0,1
28,3,28_3,87,13,0,1
29,3,29_3,88,13,0,1
30,3,30_3,89,13,0,1
31,3,31_3,90,13,0,1
